,t,vb,vg,qe,dcr,dt,ap,bif
119,-50.0,71.08492967545097,400.0,0.1,132.3970847334778,9.315000000001489e-06,0.12485330641015674,0.021196317530717917
120,-50.0,70.74833904999666,500.0,0.1,271.94762281046275,1.0170000000001625e-05,0.013780708059294966,0.01450894381105786
121,-50.0,69.9861305874119,600.0,0.1,465.5303281965482,1.1450000000001832e-05,0.007730053270486163,0.00846064418655313
122,-45.0,73.40846291577576,0.0,0.1,366.018456803407,9.93500000000159e-06,0.07657536882314087,0.015456665280732824
123,-45.0,72.8806803719125,100.0,0.1,258.9167938915157,1.0290000000001645e-05,0.03163337715694467,0.0204453348960254
124,-45.0,72.67795529721386,200.0,0.1,349.82093732960226,9.300000000001486e-06,0.11573529268155368,0.018390762315909873
125,-45.0,72.11805170936712,300.0,0.1,276.80638392104174,9.355000000001494e-06,0.04057437697754554,0.021628324448493094
126,-45.0,71.69320612771993,400.0,0.1,262.029701103106,9.13000000000146e-06,0.0939248850621222,0.01337437824505304
127,-45.0,71.06702768740904,500.0,0.1,183.06468498463204,1.0190000000001629e-05,0.000506654920858517,0.013617370716591037
128,-45.0,70.56368817180648,600.0,0.1,390.4545369460155,1.095500000000175e-05,0.006610417266586091,0.0070830468262206795
129,-45.0,70.0861703006928,700.0,0.1,900.1854118184117,1.176000000000188e-05,0.0108080388962071,0.007660263347523086
130,-40.0,73.75274034306722,0.0,0.1,414.99069861224444,1.182500000000189e-05,0.01158915944704057,0.012829689707338355
131,-40.0,73.40560906634984,100.0,0.1,420.57054264619734,1.0030000000001603e-05,0.011123561512223382,0.01176188011452468
132,-40.0,72.92435308331763,200.0,0.1,340.2063451224129,1.1295000000001805e-05,0.14265298694875125,0.011336348715739656
133,-40.0,72.39575141950834,300.0,0.1,253.97920724591324,1.0235000000001636e-05,0.0025101952644512922,0.007829050128909045
134,-40.0,71.96917398271174,400.0,0.1,240.78635705819778,1.0130000000001619e-05,0.0014447275066243508,0.008386010818758229
135,-40.0,71.63062562890642,500.0,0.1,281.4772515670454,1.0135000000001622e-05,0.005547807206034261,0.008536028982283485
136,-40.0,71.09039567582136,600.0,0.1,268.83108119341284,1.0380000000001659e-05,0.011274863908410971,0.007075785296445967
137,-40.0,70.62559981383826,700.0,0.1,487.97467612551895,1.1225000000001796e-05,0.008471146712666442,0.0073045535899253725
138,-50.0,72.94840109619824,0.0,0.11,261.18485592714796,9.565000000001529e-06,0.1816539727867322,0.022385316960167847
139,-50.0,72.32649351664882,100.0,0.11,153.03547662636228,9.440000000001507e-06,0.05829726553424834,0.02034316236987196
140,-50.0,72.04306520785401,200.0,0.11,178.47965389807723,9.410000000001504e-06,0.09880975856755551,0.027098700154314995
141,-50.0,71.73484549627142,300.0,0.11,182.08311162809343,8.735000000001396e-06,0.1598765089382451,0.01993369246700683
142,-50.0,71.12843138760294,400.0,0.11,140.38312062063204,9.315000000001489e-06,0.14838295848296415,0.021196477910191112
143,-50.0,70.78674408985476,500.0,0.11,289.2960315549477,1.0170000000001625e-05,0.02027454002857834,0.014758413250084203
144,-50.0,70.0365390617904,600.0,0.11,515.511612114206,1.1450000000001832e-05,0.008194942566962448,0.00902462777826574
145,-45.0,73.46816271182257,0.0,0.11,407.66085988460287,9.93500000000159e-06,0.11150970126998203,0.015907079169428642
146,-45.0,72.93130737172284,100.0,0.11,286.1799246597591,1.0290000000001645e-05,0.039976265454777005,0.02033997978047457
147,-45.0,72.72652920531185,200.0,0.11,377.5128686478262,9.300000000001486e-06,0.1391202975826931,0.018672158571901895
148,-45.0,72.17537300983817,300.0,0.11,308.725447150224,9.355000000001494e-06,0.058050250520333135,0.021602591278091613
149,-45.0,71.74365612965165,400.0,0.11,280.93434388512895,9.13000000000146e-06,0.11174392658015658,0.013711944601567216
150,-45.0,71.13279444259497,500.0,0.11,206.14838051346618,1.0190000000001629e-05,0.0009841059318674373,0.014011463933389878
151,-45.0,70.62494418834669,600.0,0.11,442.5134745156021,1.095500000000175e-05,0.007150768322278929,0.007905260419593245
152,-45.0,70.14118590094824,700.0,0.11,965.2135665016664,1.176000000000188e-05,0.011464665228285483,0.007952582364530593
153,-40.0,73.80120864063292,0.0,0.11,437.92522427424797,1.182500000000189e-05,0.01636641715742552,0.013200725930482412
154,-40.0,73.47031140198594,100.0,0.11,475.29632054199635,1.0030000000001603e-05,0.018486212409778713,0.012302548436265602
155,-40.0,72.97984576955574,200.0,0.11,369.473827107812,1.1295000000001805e-05,0.16062962175783227,0.011998749468683078
156,-40.0,72.44818657724593,300.0,0.11,290.0652006327315,1.0235000000001636e-05,0.003410158850828197,0.008455676586707506
157,-40.0,72.0414243110768,400.0,0.11,306.91377623978485,1.0130000000001619e-05,0.00233574736227428,0.009067754775064196
158,-40.0,71.69112095893196,500.0,0.11,316.7590229901921,1.0135000000001622e-05,0.008533880092666007,0.009169949707356047
159,-40.0,71.15323117429045,600.0,0.11,317.28377887657587,1.0380000000001659e-05,0.01583548317510621,0.007784742038630976
160,-40.0,70.67389138522559,700.0,0.11,569.2290287275096,1.1225000000001796e-05,0.009066877041960948,0.007727733257345861
161,-50.0,73.00790515830786,0.0,0.12,285.41571309802566,9.565000000001529e-06,0.2527486496317406,0.023128624135092646
162,-50.0,72.39099893830041,100.0,0.12,167.75954026422676,9.440000000001507e-06,0.07604998751675889,0.02067062631129228
163,-50.0,72.08919414329182,200.0,0.12,193.29169738728194,9.410000000001504e-06,0.1287389043713106,0.027208995095588873
164,-50.0,71.78668024687077,300.0,0.12,196.75085308116596,8.735000000001396e-06,0.19407927225956342,0.02032443710805666
165,-50.0,71.17193309975491,400.0,0.12,148.36915650778627,9.315000000001489e-06,0.17191261055577156,0.0211966382908778
