55.33333333;136;291.6666667;537;876.6666667;1261.666667;1762.666667;2212.333333;2844;3415.333333
46.33333333;147.3333333;324.3333333;577.6666667;963.6666667;1386.333333;1852.333333;2398.333333;2912;3560.666667
73.66666667;216.3333333;440.3333333;739;1128.666667;1572.333333;2013;2476.333333;2890.333333;3554
87;229.6666667;439;765.3333333;1175.333333;1575;2052.333333;2515.666667;2958.333333;3562.333333
28.66666667;134.3333333;329.3333333;609.6666667;1015.666667;1506.666667;2020.333333;2559;3078.333333;3722.666667
123.3333333;261.6666667;499.6666667;873;1282.333333;1770;2168.666667;2711.666667;3191;3810.333333
104.6666667;296.6666667;483.6666667;838.3333333;1224;1659;2123.666667;2561;3119;3818.666667
90.33333333;232.3333333;423.3333333;775.6666667;1124;1639.666667;2051;2594.333333;3104.666667;3800.666667
64.66666667;173;358;634.3333333;981.3333333;1410.666667;1905;2422.666667;3034.666667;3813.666667
112.6666667;252.3333333;475;758.6666667;1090.666667;1404;1860.666667;2340.666667;2952;3777.333333
94;236.6666667;437.6666667;674;1061.666667;1406.333333;1841.333333;2358.666667;2998;3879.333333
