108;301;553;847;1133;1451;1793;2090;2494;3127
415;716;975;1262;1509;1791;2051;2276;2720;3506
207;442;804;1093;1521;1845;2133;2428;2845;3831
161;348;614;921;1306;1754;2121;2464;2951;3633
413;707;853;1278;1658;1983;2250;2659;2865;3753
147;288;537;802;1103;1567;1973;2289;2696;3032
134;219;368;467;665;962;1156;1464;1788;2205
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
