176;294;475;731;1135;1705;2350;3278;4178;5940
856;1080;1316;1527;1708;1928;2421;3559;5311;8602
552;898;1205;1523;1752;2047;2406;3227;4877;8031
826;1234;1524;1685;1974;2205;2597;3405;5044;7997
847;1236;1496;1753;1927;2190;2698;3505;5031;7633
1013;1262;1602;1796;1965;2243;2635;3414;4971;7883
674;1078;1362;1691;1986;2309;2658;3413;4560;6995
923;1405;1626;1930;2065;2251;2713;3493;4678;6945
1207;1470;1678;1893;2076;2288;2707;3453;4691;7278
871;1262;1593;1835;2037;2271;2652;3352;4686;7357
583;997;1433;1715;1979;2227;2624;3367;4572;6949
