73;112;232;373;655;1021;1461;1803;2275;2947
250;447;613;841;1042;1320;1596;1905;2252;2959
45;103;254;511;740;1072;1495;1900;2374;3310
107;321;573;869;1205;1521;1868;2190;2604;3337
110;315;652;946;1320;1617;1937;2281;2724;3496
218;439;745;1006;1346;1589;2007;2397;2747;3360
259;519;781;1116;1470;1787;1989;2415;2861;3419
297;557;789;1099;1378;1727;1964;2354;2663;3370
399;585;814;1115;1481;1617;2008;2318;2823;3247
308;514;818;1014;1347;1590;1860;2196;2692;3122
373;637;841;1091;1346;1598;1869;2073;2451;3000
