,t,vb,vg,qe,dcr,dt,ap,bif
130,-40.0,73.2879157280239,900.0,0.08,138.11315858085425,6.130000000000979e-06,0.0643355411126976,0.008114365047940792
131,-40.0,73.07437587589432,1000.0,0.08,133.81005796099143,3.915000000000626e-06,0.024715285906605808,0.008180410192132283
132,-50.0,74.71203178211455,0.0,0.09,155.38274690114875,6.1350000000009806e-06,0.47860470591966453,0.04188994332434117
133,-50.0,74.79349825987485,100.0,0.09,173.34734792298414,6.065000000000969e-06,0.6400125051408891,0.03499615742396592
134,-50.0,74.60626576565662,200.0,0.09,163.6477393130585,6.220000000000994e-06,0.5647490555654449,0.028404062506967448
135,-50.0,74.07950359730413,300.0,0.09,62.71409274822097,5.985000000000957e-06,0.18365631310870534,0.01991117519682451
136,-50.0,73.84946010327559,400.0,0.09,85.30172255108536,5.920000000000946e-06,0.3997465562892818,0.024522714209982643
137,-50.0,73.51690592627426,500.0,0.09,71.43212839609942,5.780000000000924e-06,0.3533235628685396,0.02189133993544093
138,-50.0,73.40655901974284,600.0,0.09,88.00731642082474,5.7400000000009174e-06,0.3928020911456872,0.01838360942078459
139,-50.0,73.02056797771726,700.0,0.09,55.82477370673607,5.945000000000951e-06,0.3240095891951705,0.022425395270487827
140,-50.0,72.63696740720674,800.0,0.09,51.18913694111556,5.700000000000911e-06,0.4075273033291703,0.016012617867013815
141,-50.0,72.4547062238649,900.0,0.09,48.4327685125303,5.810000000000928e-06,0.33086975848236794,0.01173683380234647
142,-50.0,72.0060452992648,1000.0,0.09,30.212850715198478,5.730000000000915e-06,0.32629303239442936,0.013025683980657574
143,-45.0,75.25516332189429,0.0,0.09,228.85233269605231,6.330000000001013e-06,0.30875234291880743,0.04278063097289654
144,-45.0,74.96079241753564,100.0,0.09,160.24863279827446,5.985000000000957e-06,0.2005458981446693,0.014084251515446506
145,-45.0,74.97491589633754,200.0,0.09,242.59443375630994,6.100000000000975e-06,0.14865836386797202,0.019975810943389398
146,-45.0,74.42688274867994,300.0,0.09,157.15234444943812,6.055000000000968e-06,0.054000508905109476,0.015401074397081044
147,-45.0,74.09347747212479,400.0,0.09,119.67068836651686,6.220000000000994e-06,0.09288842177264847,0.0166894572719684
148,-45.0,73.85202711316987,500.0,0.09,146.59849821053467,5.930000000000946e-06,0.10602463107529644,0.01680411264960339
149,-45.0,73.52350772324321,600.0,0.09,141.82161651163076,5.995000000000958e-06,0.029993940174968325,0.012556115611181912
150,-45.0,73.24440740346725,700.0,0.09,119.4055941734444,5.960000000000953e-06,0.04279376878936787,0.008528319429562102
